NASCIMENTO,SEXO,CIDADE,EQUIPE,MODALIDADE
29/08/2004,Feminino,Votorantim,,5 KM
24/07/1984,Feminino,Sorocaba,,5 KM
20/05/1985,Feminino,Sorocaba,,5 KM
30/08/1983,Feminino,Sorocaba,Velocy Team,5 KM
23/04/1984,Masculino,Sorocaba,,10 KM
24/06/1996,Feminino,Sorocaba,,5 KM
28/12/1995,Feminino,Sorocaba,Avulso,3 KM CAMINHADA
04/02/1986,Feminino,Piedade,,10 KM
07/08/1984,Masculino,Araçoiaba da Serra,Adc Metso,5 KM
24/03/1994,Feminino,VOTORANTIM,Velocy team,5 KM
25/05/1994,Feminino,Sorocaba,Não tenho,5 KM
07/04/1962,Masculino,Sorocaba,Éden reis,5 KM
17/02/1993,Feminino,Sorocaba,Aasp,5 KM
20/12/1963,Feminino,Piedade,,3 KM CAMINHADA
11/06/1985,Feminino,Sorocaba,Lets Run,5 KM
14/05/2002,Feminino,Votorantim,AASP,5 KM
21/04/1992,Feminino,Sorocaba,FT Assessoria Esportiva,5 KM
01/11/1989,Feminino,Votorantim,Equipe do chip,5 KM
10/06/1989,Feminino,Sorocaba,Garagem wd,10 KM
22/11/1969,Feminino,Sorocaba,Não tem,5 KM
28/03/1978,Masculino,Votorantim,Avulso,10 KM
25/02/1988,Feminino,Sorocaba,,10 KM
15/06/1975,Feminino,Sorocaba,avulso,5 KM
27/09/1989,Feminino,Sorocaba,,5 KM
17/02/1987,Masculino,Sorocaba,,5 KM
22/09/1983,Feminino,Sorocaba,,5 KM
27/06/1980,Feminino,Sorocaba,,10 KM
01/05/1985,Masculino,Sorocaba,,5 KM
11/02/1983,Feminino,Boituva,Correr e Agradecer,5 KM
15/06/1977,Masculino,Itapetininga,Serafim Runners,5 KM
08/11/1980,Masculino,Sorocaba,Locomotivas_Runners/100limitesassessoriaesportiva,10 KM
24/06/1969,Masculino,Sorocaba,,5 KM
28/11/1973,Feminino,Sorocaba,,5 KM
12/05/1999,Masculino,Sorocaba,Live!+,5 KM
14/09/1989,Feminino,SOROCABA,,PCD
13/11/1988,Feminino,Sorocaba,Ducorre,10 KM
28/11/1962,Masculino,Sorocaba,ACM/FEFISO,5 KM
04/06/1976,Masculino,Salto,,10 KM
25/01/2006,Feminino,Votorantim,ACM/FEFISO,5 KM
04/03/1989,Feminino,Sorocaba,,5 KM
13/07/1994,Feminino,Sorocaba,ACM/FEFISO,5 KM
06/06/1976,Masculino,Votorantim,,10 KM
01/05/1991,Masculino,Araçoiaba da Serra,Hortifruti natural e  saudável,5 KM
18/09/1984,Masculino,Votorantim,,5 KM
14/01/1980,Masculino,Sorocaba,Prado,10 KM
08/08/1997,Feminino,Piedade,,5 KM
07/11/1965,Masculino,Sorocaba,,5 KM
11/02/1999,Feminino,Alumínio,ACM/FEFISO,5 KM
07/09/1999,Masculino,Alumínio,ACM/FEFISO,5 KM
09/06/1990,Masculino,Sorocaba,Will TEAM,10 KM
13/08/1992,Feminino,Sorocaba,,10 KM
05/02/1984,Feminino,Piedade,Open Run,5 KM
23/12/1991,Masculino,Piedade,Open Trainer,10 KM
08/08/1983,Masculino,Piedade,OPEN RUN,5 KM
06/07/1973,Feminino,Piedade,TeamGrazi,5 KM
14/01/1985,Feminino,Piedade,,5 KM
29/10/1993,Feminino,Sorocaba,,5 KM
10/06/1991,Feminino,Sorocaba,,5 KM
07/09/1981,Feminino,Sorocaba,,5 KM
30/01/2003,Feminino,Votorantim,ACM / FEFISO,5 KM
27/06/2003,Feminino,Sorocaba,,5 KM
